Font,Color Combination,Lens,Distance to Screen,Screen Brightness,Horizontal Angle,Vertical Angle,Exposure Time,Size,Unprocessed Accuracy,Processed Accuracy
0,1,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
0,1,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
0,1,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
0,2,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
0,2,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
0,2,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
0,3,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
0,3,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
0,3,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
1,0,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
1,0,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
1,0,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
1,1,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
1,1,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
1,1,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
1,2,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
1,2,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
1,2,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
1,3,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
1,3,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
1,3,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
2,0,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
2,0,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
2,0,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
2,1,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
2,1,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
2,1,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
2,2,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
2,2,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
2,2,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
2,3,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
2,3,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
2,3,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
4,0,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
4,0,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
4,0,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
4,1,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
4,1,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
4,1,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
4,2,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
4,2,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
4,2,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
4,3,daheng_12mm,150,50,45,0,100,Big,0.0,0.0
4,3,daheng_12mm,150,50,45,0,100,Medium,0.0,0.0
4,3,daheng_12mm,150,50,45,0,100,Small,0.0,0.0
0,0,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
0,0,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
0,0,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
0,1,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
0,1,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
0,1,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
0,2,daheng_12mm,150,50,45,45,100,Big,0.0,0.16666666666666666
0,2,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
0,2,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
0,3,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
0,3,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
0,3,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
1,0,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
1,0,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
1,0,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
1,1,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
1,1,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
1,1,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
1,2,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
1,2,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
1,2,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
1,3,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
1,3,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
1,3,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
2,0,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
2,0,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
2,0,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
2,1,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
2,1,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
2,1,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
2,2,daheng_12mm,150,50,45,45,100,Big,0.0,0.13333333333333333
2,2,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
2,2,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
2,3,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
2,3,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
2,3,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
4,0,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
4,0,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
4,0,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
4,1,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
4,1,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
4,1,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
4,2,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
4,2,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
4,2,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
4,3,daheng_12mm,150,50,45,45,100,Big,0.0,0.0
4,3,daheng_12mm,150,50,45,45,100,Medium,0.0,0.0
4,3,daheng_12mm,150,50,45,45,100,Small,0.0,0.0
0,0,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
0,0,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
0,0,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
0,1,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
0,1,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
0,1,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
0,2,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
0,2,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
0,2,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
0,3,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
0,3,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
0,3,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
1,0,daheng_12mm,150,50,60,0,100,Big,0.0,0.06666666666666667
1,0,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
1,0,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
1,1,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
1,1,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
1,1,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
1,2,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
1,2,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
1,2,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
1,3,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
1,3,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
1,3,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
2,0,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
2,0,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
2,0,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
2,1,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
2,1,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
2,1,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
2,2,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
2,2,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
2,2,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
2,3,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
2,3,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
2,3,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
4,0,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
4,0,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
4,0,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
4,1,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
4,1,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
4,1,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
4,2,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
4,2,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
4,2,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
4,3,daheng_12mm,150,50,60,0,100,Big,0.0,0.0
4,3,daheng_12mm,150,50,60,0,100,Medium,0.0,0.0
4,3,daheng_12mm,150,50,60,0,100,Small,0.0,0.0
0,0,daheng_12mm,150,50,60,45,100,Big,0.16666666666666666,0.13333333333333333
0,0,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
0,0,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
0,1,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
0,1,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
0,1,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
0,2,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
0,2,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
0,2,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
0,3,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
0,3,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
0,3,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
1,0,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
1,0,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
1,0,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
1,1,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
1,1,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
1,1,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
1,2,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
1,2,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
1,2,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
1,3,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
1,3,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
1,3,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
2,0,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
2,0,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
2,0,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
2,1,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
2,1,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
2,1,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
2,2,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
2,2,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
2,2,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
2,3,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
2,3,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
2,3,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
4,0,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
4,0,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
4,0,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
4,1,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
4,1,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
4,1,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
4,2,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
4,2,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
4,2,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
4,3,daheng_12mm,150,50,60,45,100,Big,0.0,0.0
4,3,daheng_12mm,150,50,60,45,100,Medium,0.0,0.0
4,3,daheng_12mm,150,50,60,45,100,Small,0.0,0.0
0,0,daheng_12mm,75,0,0,0,100,Big,1.0,1.0
0,0,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
0,0,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
0,1,daheng_12mm,75,0,0,0,100,Big,1.0,1.0
0,1,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
0,1,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
0,2,daheng_12mm,75,0,0,0,100,Big,0.0,0.5333333333333333
0,2,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
0,2,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
0,3,daheng_12mm,75,0,0,0,100,Big,1.0,1.0
0,3,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
0,3,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
1,0,daheng_12mm,75,0,0,0,100,Big,0.43333333333333335,0.7333333333333333
1,0,daheng_12mm,75,0,0,0,100,Medium,0.1,0.0
1,0,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
1,1,daheng_12mm,75,0,0,0,100,Big,0.9,0.8666666666666667
1,1,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
1,1,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
1,2,daheng_12mm,75,0,0,0,100,Big,0.0,0.3
1,2,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
1,2,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
1,3,daheng_12mm,75,0,0,0,100,Big,1.0,1.0
1,3,daheng_12mm,75,0,0,0,100,Medium,0.6333333333333333,0.6666666666666666
1,3,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
2,0,daheng_12mm,75,0,0,0,100,Big,1.0,0.03333333333333333
2,0,daheng_12mm,75,0,0,0,100,Medium,0.16666666666666666,0.0
2,0,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
2,1,daheng_12mm,75,0,0,0,100,Big,1.0,1.0
2,1,daheng_12mm,75,0,0,0,100,Medium,0.43333333333333335,0.2
2,1,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
2,2,daheng_12mm,75,0,0,0,100,Big,0.0,0.6666666666666666
2,2,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
2,2,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
2,3,daheng_12mm,75,0,0,0,100,Big,0.8666666666666667,1.0
2,3,daheng_12mm,75,0,0,0,100,Medium,0.4,0.3
2,3,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
4,0,daheng_12mm,75,0,0,0,100,Big,0.3,0.3333333333333333
4,0,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
4,0,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
4,1,daheng_12mm,75,0,0,0,100,Big,0.9666666666666667,0.1
4,1,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
4,1,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
4,2,daheng_12mm,75,0,0,0,100,Big,0.0,0.0
4,2,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
4,2,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
4,3,daheng_12mm,75,0,0,0,100,Big,0.0,0.43333333333333335
4,3,daheng_12mm,75,0,0,0,100,Medium,0.0,0.0
4,3,daheng_12mm,75,0,0,0,100,Small,0.0,0.0
0,0,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
0,0,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
0,0,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
0,1,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
0,1,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
0,1,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
0,2,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
0,2,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
0,2,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
0,3,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
0,3,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
0,3,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
1,0,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
1,0,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
1,0,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
1,1,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
1,1,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
1,1,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
1,2,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
1,2,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
1,2,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
1,3,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
1,3,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
1,3,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
2,0,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
2,0,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
2,0,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
2,1,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
2,1,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
2,1,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
2,2,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
2,2,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
2,2,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
2,3,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
2,3,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
2,3,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
4,0,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
4,0,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
4,0,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
4,1,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
4,1,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
4,1,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
4,2,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
4,2,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
4,2,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
4,3,daheng_12mm,75,0,0,60,100,Big,0.0,0.0
4,3,daheng_12mm,75,0,0,60,100,Medium,0.0,0.0
4,3,daheng_12mm,75,0,0,60,100,Small,0.0,0.0
0,0,daheng_12mm,75,0,45,0,100,Big,0.8,0.1
0,0,daheng_12mm,75,0,45,0,100,Medium,0.7333333333333333,0.0
0,0,daheng_12mm,75,0,45,0,100,Small,0.9666666666666667,0.03333333333333333
0,1,daheng_12mm,75,0,45,0,100,Big,1.0,1.0
0,1,daheng_12mm,75,0,45,0,100,Medium,1.0,1.0
0,1,daheng_12mm,75,0,45,0,100,Small,0.0,0.0
0,2,daheng_12mm,75,0,45,0,100,Big,0.0,0.0
0,2,daheng_12mm,75,0,45,0,100,Medium,0.0,0.1
0,2,daheng_12mm,75,0,45,0,100,Small,0.0,0.0
0,3,daheng_12mm,75,0,45,0,100,Big,1.0,1.0
0,3,daheng_12mm,75,0,45,0,100,Medium,0.0,0.9333333333333333
0,3,daheng_12mm,75,0,45,0,100,Small,0.7333333333333333,0.9666666666666667
1,0,daheng_12mm,75,0,45,0,100,Big,0.13333333333333333,0.06666666666666667
1,0,daheng_12mm,75,0,45,0,100,Medium,0.7,0.0
1,0,daheng_12mm,75,0,45,0,100,Small,0.9666666666666667,0.0
1,1,daheng_12mm,75,0,45,0,100,Big,1.0,1.0
1,1,daheng_12mm,75,0,45,0,100,Medium,1.0,0.8666666666666667
1,1,daheng_12mm,75,0,45,0,100,Small,0.3333333333333333,0.6
1,2,daheng_12mm,75,0,45,0,100,Big,0.0,0.0
1,2,daheng_12mm,75,0,45,0,100,Medium,0.0,0.16666666666666666
1,2,daheng_12mm,75,0,45,0,100,Small,0.0,0.26666666666666666
1,3,daheng_12mm,75,0,45,0,100,Big,0.4666666666666667,1.0
1,3,daheng_12mm,75,0,45,0,100,Medium,0.0,0.5666666666666667
1,3,daheng_12mm,75,0,45,0,100,Small,0.0,1.0
2,0,daheng_12mm,75,0,45,0,100,Big,0.7666666666666667,0.0
2,0,daheng_12mm,75,0,45,0,100,Medium,0.6333333333333333,0.0
2,0,daheng_12mm,75,0,45,0,100,Small,1.0,0.0
2,1,daheng_12mm,75,0,45,0,100,Big,1.0,1.0
2,1,daheng_12mm,75,0,45,0,100,Medium,1.0,1.0
2,1,daheng_12mm,75,0,45,0,100,Small,0.0,0.0
2,2,daheng_12mm,75,0,45,0,100,Big,0.0,0.0
2,2,daheng_12mm,75,0,45,0,100,Medium,0.0,0.13333333333333333
2,2,daheng_12mm,75,0,45,0,100,Small,0.0,0.0
2,3,daheng_12mm,75,0,45,0,100,Big,0.9666666666666667,1.0
2,3,daheng_12mm,75,0,45,0,100,Medium,0.0,1.0
2,3,daheng_12mm,75,0,45,0,100,Small,1.0,0.6
4,0,daheng_12mm,75,0,45,0,100,Big,0.0,1.0
4,0,daheng_12mm,75,0,45,0,100,Medium,0.0,1.0
4,0,daheng_12mm,75,0,45,0,100,Small,0.0,0.0
4,1,daheng_12mm,75,0,45,0,100,Big,0.16666666666666666,0.0
4,1,daheng_12mm,75,0,45,0,100,Medium,0.3333333333333333,0.13333333333333333
4,1,daheng_12mm,75,0,45,0,100,Small,0.0,0.0
4,2,daheng_12mm,75,0,45,0,100,Big,0.0,0.0
4,2,daheng_12mm,75,0,45,0,100,Medium,0.0,0.0
4,2,daheng_12mm,75,0,45,0,100,Small,0.0,0.0
4,3,daheng_12mm,75,0,45,0,100,Big,0.0,0.8666666666666667
4,3,daheng_12mm,75,0,45,0,100,Medium,0.0,0.9666666666666667
4,3,daheng_12mm,75,0,45,0,100,Small,0.0,0.6333333333333333
0,0,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
0,0,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
0,0,daheng_12mm,75,100,0,0,100,Small,1.0,1.0
0,1,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
0,1,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
0,1,daheng_12mm,75,100,0,0,100,Small,0.7,1.0
0,2,daheng_12mm,75,100,0,0,100,Big,0.0,1.0
0,2,daheng_12mm,75,100,0,0,100,Medium,0.0,1.0
0,2,daheng_12mm,75,100,0,0,100,Small,0.0,0.9666666666666667
0,3,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
0,3,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
0,3,daheng_12mm,75,100,0,0,100,Small,1.0,1.0
1,0,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
1,0,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
1,0,daheng_12mm,75,100,0,0,100,Small,0.9666666666666667,0.9
1,1,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
1,1,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
1,1,daheng_12mm,75,100,0,0,100,Small,0.9666666666666667,1.0
1,2,daheng_12mm,75,100,0,0,100,Big,0.0,1.0
1,2,daheng_12mm,75,100,0,0,100,Medium,0.0,1.0
1,2,daheng_12mm,75,100,0,0,100,Small,0.0,0.9666666666666667
1,3,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
1,3,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
1,3,daheng_12mm,75,100,0,0,100,Small,1.0,1.0
2,0,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
2,0,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
2,0,daheng_12mm,75,100,0,0,100,Small,0.9666666666666667,0.9666666666666667
2,1,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
2,1,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
2,1,daheng_12mm,75,100,0,0,100,Small,1.0,1.0
2,2,daheng_12mm,75,100,0,0,100,Big,0.0,1.0
2,2,daheng_12mm,75,100,0,0,100,Medium,0.0,1.0
2,2,daheng_12mm,75,100,0,0,100,Small,0.0,1.0
2,3,daheng_12mm,75,100,0,0,100,Big,1.0,1.0
2,3,daheng_12mm,75,100,0,0,100,Medium,1.0,1.0
2,3,daheng_12mm,75,100,0,0,100,Small,0.9666666666666667,0.7333333333333333
4,0,daheng_12mm,75,100,0,0,100,Big,0.4666666666666667,0.9333333333333333
4,0,daheng_12mm,75,100,0,0,100,Medium,0.6,1.0
4,0,daheng_12mm,75,100,0,0,100,Small,0.4,0.7
4,1,daheng_12mm,75,100,0,0,100,Big,0.5666666666666667,0.1
4,1,daheng_12mm,75,100,0,0,100,Medium,0.43333333333333335,0.5
4,1,daheng_12mm,75,100,0,0,100,Small,0.03333333333333333,0.0
4,2,daheng_12mm,75,100,0,0,100,Big,0.0,0.8
4,2,daheng_12mm,75,100,0,0,100,Medium,0.0,0.7
4,2,daheng_12mm,75,100,0,0,100,Small,0.03333333333333333,0.26666666666666666
4,3,daheng_12mm,75,100,0,0,100,Big,0.03333333333333333,1.0
4,3,daheng_12mm,75,100,0,0,100,Medium,0.26666666666666666,0.9333333333333333
4,3,daheng_12mm,75,100,0,0,100,Small,0.03333333333333333,0.0
0,0,daheng_12mm,75,100,0,45,100,Big,0.8666666666666667,0.7
0,0,daheng_12mm,75,100,0,45,100,Medium,0.0,0.0
0,0,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
0,1,daheng_12mm,75,100,0,45,100,Big,0.9333333333333333,0.8333333333333334
0,1,daheng_12mm,75,100,0,45,100,Medium,0.0,0.0
0,1,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
0,2,daheng_12mm,75,100,0,45,100,Big,0.0,0.9
0,2,daheng_12mm,75,100,0,45,100,Medium,0.0,0.0
0,2,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
0,3,daheng_12mm,75,100,0,45,100,Big,0.9333333333333333,1.0
0,3,daheng_12mm,75,100,0,45,100,Medium,0.0,0.0
0,3,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
1,0,daheng_12mm,75,100,0,45,100,Big,0.06666666666666667,0.5333333333333333
1,0,daheng_12mm,75,100,0,45,100,Medium,0.0,0.0
1,0,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
1,1,daheng_12mm,75,100,0,45,100,Big,0.8,0.8333333333333334
1,1,daheng_12mm,75,100,0,45,100,Medium,0.0,0.0
1,1,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
1,2,daheng_12mm,75,100,0,45,100,Big,0.0,0.9
1,2,daheng_12mm,75,100,0,45,100,Medium,0.0,0.0
1,2,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
1,3,daheng_12mm,75,100,0,45,100,Big,0.9666666666666667,1.0
1,3,daheng_12mm,75,100,0,45,100,Medium,0.0,0.03333333333333333
1,3,daheng_12mm,75,100,0,45,100,Small,0.0,0.0
2,0,daheng_12mm,75,100,0,45,100,Big,0.9666666666666667,0.13333333333333333
